id,type,english,tts_text,chinese,difficulty,topic,keywords,lesson,unit_name,source_note
1,sentence,This is a living room.,This is a living room.,這是一間客廳。,beginner,七上 Lesson 3-國中2000單字,living room,grade7_1_lesson3,Let's Get Some Ideas from RoomGPT,L3 Vocabulary: rooms
2,sentence,This is a bedroom.,This is a bedroom.,這是一間臥室。,beginner,七上 Lesson 3-國中2000單字,bedroom,grade7_1_lesson3,Let's Get Some Ideas from RoomGPT,L3 Vocabulary: rooms
3,sentence,This is a bathroom.,This is a bathroom.,這是一間浴室。,beginner,七上 Lesson 3-國中2000單字,bathroom,grade7_1_lesson3,Let's Get Some Ideas from RoomGPT,L3 Vocabulary: rooms
4,sentence,This is a dining room.,This is a dining room.,這是一間飯廳。,beginner,七上 Lesson 3-國中2000單字,dining room,grade7_1_lesson3,Let's Get Some Ideas from RoomGPT,L3 Vocabulary: rooms
5,sentence,Jay is in the bedroom.,Jay is in the bedroom.,Jay 在臥室裡。,beginner,七上 Lesson 3-國中2000單字,bedroom;in,grade7_1_lesson3,Let's Get Some Ideas from RoomGPT,L3 Vocabulary Skills: prepositions
6,sentence,Ivy is in the bathroom.,Ivy is in the bathroom.,Ivy 在浴室裡。,beginner,七上 Lesson 3-國中2000單字,bathroom;in,grade7_1_lesson3,Let's Get Some Ideas from RoomGPT,L3 Vocabulary Skills: prepositions
7,sentence,Hank is in the dining room.,Hank is in the dining room.,Hank 在飯廳裡。,beginner,七上 Lesson 3-國中2000單字,dining room;in,grade7_1_lesson3,Let's Get Some Ideas from RoomGPT,L3 Vocabulary Skills: prepositions
8,sentence,The book is on the table.,The book is on the table.,書在桌上。,beginner,七上 Lesson 3-國中2000單字,on;table,grade7_1_lesson3,Let's Get Some Ideas from RoomGPT,L3 Grammar 1: where and prepositions
9,sentence,The bag is under the table.,The bag is under the table.,袋子在桌子下面。,beginner,七上 Lesson 3-國中2000單字,under;table,grade7_1_lesson3,Let's Get Some Ideas from RoomGPT,L3 Grammar 1: where and prepositions
10,sentence,The chair is near the table.,The chair is near the table.,椅子在桌子附近。,beginner,七上 Lesson 3-國中2000單字,near;table;chair,grade7_1_lesson3,Let's Get Some Ideas from RoomGPT,L3 Vocabulary Skills: prepositions
