id,type,english,tts_text,chinese,difficulty,topic,keywords,lesson,unit_name,source_note
1,sentence,What are you doing?,What are you doing?,你正在做什麼？,beginner,七上 複習5-6-國中2000單字,what are you doing,grade7_1_review5_6,Review 5-6: What Are You Doing? + Are There Any Shelves Outside the Door?,Merged review from Lesson 5 and Lesson 6 | L5 course sentences
2,sentence,I am looking for my watch.,I am looking for my watch.,我正在找我的手錶。,beginner,七上 複習5-6-國中2000單字,look for;watch,grade7_1_review5_6,Review 5-6: What Are You Doing? + Are There Any Shelves Outside the Door?,Merged review from Lesson 5 and Lesson 6 | L5 course sentences
3,sentence,What time is it?,What time is it?,現在幾點？,beginner,七上 複習5-6-國中2000單字,what time,grade7_1_review5_6,Review 5-6: What Are You Doing? + Are There Any Shelves Outside the Door?,Merged review from Lesson 5 and Lesson 6 | L5 course sentences
4,sentence,It is seven twenty.,It is seven twenty.,現在七點二十。,beginner,七上 複習5-6-國中2000單字,seven twenty,grade7_1_review5_6,Review 5-6: What Are You Doing? + Are There Any Shelves Outside the Door?,Merged review from Lesson 5 and Lesson 6 | L5 course sentences
5,sentence,Hurry up.,Hurry up.,快一點。,beginner,七上 複習5-6-國中2000單字,hurry up,grade7_1_review5_6,Review 5-6: What Are You Doing? + Are There Any Shelves Outside the Door?,Merged review from Lesson 5 and Lesson 6 | L5 course sentences
6,sentence,It is time for school.,It is time for school.,上學時間到了。,beginner,七上 複習5-6-國中2000單字,time for school,grade7_1_review5_6,Review 5-6: What Are You Doing? + Are There Any Shelves Outside the Door?,Merged review from Lesson 5 and Lesson 6 | L5 course sentences
7,sentence,Can I join the group chat?,Can I join the group chat?,我可以加入群組聊天嗎？,beginner,七上 複習5-6-國中2000單字,join;group chat,grade7_1_review5_6,Review 5-6: What Are You Doing? + Are There Any Shelves Outside the Door?,Merged review from Lesson 5 and Lesson 6 | L5 course sentences
8,sentence,The meeting is tonight.,The meeting is tonight.,會議在今晚。,beginner,七上 複習5-6-國中2000單字,meeting;tonight,grade7_1_review5_6,Review 5-6: What Are You Doing? + Are There Any Shelves Outside the Door?,Merged review from Lesson 5 and Lesson 6 | L5 course sentences
9,sentence,The meeting is at nine p.m.,The meeting is at nine p m,會議在晚上九點。,beginner,七上 複習5-6-國中2000單字,meeting;nine p.m.,grade7_1_review5_6,Review 5-6: What Are You Doing? + Are There Any Shelves Outside the Door?,Merged review from Lesson 5 and Lesson 6 | L5 course sentences
10,sentence,It is about our school life.,It is about our school life.,它是關於我們的學校生活。,beginner,七上 複習5-6-國中2000單字,school life,grade7_1_review5_6,Review 5-6: What Are You Doing? + Are There Any Shelves Outside the Door?,Merged review from Lesson 5 and Lesson 6 | L5 course sentences
