id,type,english,tts_text,chinese,difficulty,topic,keywords,lesson,unit_name,source_note
1,sentence,There is a gate at the school.,There is a gate at the school.,學校有一個大門。,beginner,七上 Lesson 6-國中2000單字,gate;school;There is,grade7_1_lesson6,Are There Any Shelves Outside the Door?,"L6 textbook: school places, There is/are, school tour, lunch culture, V-sign, special schools"
2,sentence,The sports field is big.,The sports field is big.,操場很大。,beginner,七上 Lesson 6-國中2000單字,sports field;big,grade7_1_lesson6,Are There Any Shelves Outside the Door?,"L6 textbook: school places, There is/are, school tour, lunch culture, V-sign, special schools"
3,sentence,There is a basketball court near the school.,There is a basketball court near the school.,學校附近有一個籃球場。,beginner,七上 Lesson 6-國中2000單字,basketball court;near;school,grade7_1_lesson6,Are There Any Shelves Outside the Door?,"L6 textbook: school places, There is/are, school tour, lunch culture, V-sign, special schools"
4,sentence,The restroom is next to the library.,The restroom is next to the library.,廁所在圖書館旁邊。,beginner,七上 Lesson 6-國中2000單字,restroom;next to;library,grade7_1_lesson6,Are There Any Shelves Outside the Door?,"L6 textbook: school places, There is/are, school tour, lunch culture, V-sign, special schools"
5,sentence,Anna is in the library.,Anna is in the library.,Anna 在圖書館裡。,beginner,七上 Lesson 6-國中2000單字,Anna;library,grade7_1_lesson6,Are There Any Shelves Outside the Door?,"L6 textbook: school places, There is/are, school tour, lunch culture, V-sign, special schools"
6,sentence,Mike is on the sports field.,Mike is on the sports field.,Mike 在操場上。,beginner,七上 Lesson 6-國中2000單字,Mike;sports field,grade7_1_lesson6,Are There Any Shelves Outside the Door?,"L6 textbook: school places, There is/are, school tour, lunch culture, V-sign, special schools"
7,sentence,Meg and Lucy are on the seesaw.,Meg and Lucy are on the seesaw.,Meg 和 Lucy 在蹺蹺板上。,beginner,七上 Lesson 6-國中2000單字,Meg;Lucy;seesaw,grade7_1_lesson6,Are There Any Shelves Outside the Door?,"L6 textbook: school places, There is/are, school tour, lunch culture, V-sign, special schools"
8,sentence,There is a swing in the playground.,There is a swing in the playground.,遊樂場裡有一個秋千。,beginner,七上 Lesson 6-國中2000單字,swing;playground;There is,grade7_1_lesson6,Are There Any Shelves Outside the Door?,"L6 textbook: school places, There is/are, school tour, lunch culture, V-sign, special schools"
9,sentence,There is a slide in the playground.,There is a slide in the playground.,遊樂場裡有一個滑梯。,beginner,七上 Lesson 6-國中2000單字,slide;playground;There is,grade7_1_lesson6,Are There Any Shelves Outside the Door?,"L6 textbook: school places, There is/are, school tour, lunch culture, V-sign, special schools"
10,sentence,There are flowers in the garden.,There are flowers in the garden.,花園裡有花。,beginner,七上 Lesson 6-國中2000單字,flowers;garden;There are,grade7_1_lesson6,Are There Any Shelves Outside the Door?,"L6 textbook: school places, There is/are, school tour, lunch culture, V-sign, special schools"
11,sentence,A basketball court is a compound noun.,A basketball court is a compound noun.,basketball court 是複合名詞。,beginner,七上 Lesson 6-國中2000單字,basketball court;compound noun,grade7_1_lesson6,Are There Any Shelves Outside the Door?,"L6 textbook: school places, There is/are, school tour, lunch culture, V-sign, special schools"
