id,type,english,tts_text,chinese,difficulty,topic,keywords,lesson,unit_name,source_note
1,sentence,It is a monkey.,It is a monkey.,牠是一隻猴子。,beginner,七上 Lesson 2-國中2000單字,monkey,grade7_1_lesson2,What Are These?,L2 Vocabulary and Grammar: What is this/that/it?
2,sentence,It is a fox.,It is a fox.,牠是一隻狐狸。,beginner,七上 Lesson 2-國中2000單字,fox,grade7_1_lesson2,What Are These?,L2 Vocabulary and Grammar: What is this/that/it?
3,sentence,It is a sheep.,It is a sheep.,牠是一隻綿羊。,beginner,七上 Lesson 2-國中2000單字,sheep,grade7_1_lesson2,What Are These?,L2 Vocabulary and Grammar: What is this/that/it?
4,sentence,It is a tiger.,It is a tiger.,牠是一隻老虎。,beginner,七上 Lesson 2-國中2000單字,tiger,grade7_1_lesson2,What Are These?,L2 Vocabulary and Grammar: What is this/that/it?
5,sentence,It is a zebra.,It is a zebra.,牠是一隻斑馬。,beginner,七上 Lesson 2-國中2000單字,zebra,grade7_1_lesson2,What Are These?,L2 Vocabulary and Grammar: What is this/that/it?
6,sentence,It is a lion.,It is a lion.,牠是一隻獅子。,beginner,七上 Lesson 2-國中2000單字,lion,grade7_1_lesson2,What Are These?,L2 Vocabulary and Grammar: What is this/that/it?
7,sentence,It is a mouse.,It is a mouse.,牠是一隻老鼠。,beginner,七上 Lesson 2-國中2000單字,mouse,grade7_1_lesson2,What Are These?,L2 Vocabulary and Grammar: What is this/that/it?
8,sentence,It is a bear.,It is a bear.,牠是一隻熊。,beginner,七上 Lesson 2-國中2000單字,bear,grade7_1_lesson2,What Are These?,L2 Vocabulary and Grammar: What is this/that/it?
9,sentence,This is a fish.,This is a fish.,這是一條魚。,beginner,七上 Lesson 2-國中2000單字,fish,grade7_1_lesson2,What Are These?,L2 Vocabulary and Grammar: What is this/that/it?
10,sentence,That is a rabbit.,That is a rabbit.,那是一隻兔子。,beginner,七上 Lesson 2-國中2000單字,rabbit,grade7_1_lesson2,What Are These?,L2 Vocabulary and Grammar: What is this/that/it?
11,sentence,What is this?,What is this?,這是什麼？,beginner,七上 Lesson 2-國中2000單字,what;this,grade7_1_lesson2,What Are These?,L2 Vocabulary and Grammar: What is this/that/it?
12,sentence,What is that?,What is that?,那是什麼？,beginner,七上 Lesson 2-國中2000單字,what;that,grade7_1_lesson2,What Are These?,L2 Vocabulary and Grammar: What is this/that/it?
13,sentence,What is it?,What is it?,它是什麼？,beginner,七上 Lesson 2-國中2000單字,what;it,grade7_1_lesson2,What Are These?,L2 Vocabulary and Grammar: What is this/that/it?
14,sentence,This is a pen.,This is a pen.,這是一支筆。,beginner,七上 Lesson 2-國中2000單字,this;pen,grade7_1_lesson2,What Are These?,L2 Vocabulary and Grammar: What is this/that/it?
15,sentence,That is a desk.,That is a desk.,那是一張書桌。,beginner,七上 Lesson 2-國中2000單字,that;desk,grade7_1_lesson2,What Are These?,L2 Vocabulary and Grammar: What is this/that/it?
16,sentence,It is an eraser.,It is an eraser.,它是一個橡皮擦。,beginner,七上 Lesson 2-國中2000單字,it;eraser,grade7_1_lesson2,What Are These?,L2 Vocabulary and Grammar: What is this/that/it?
17,sentence,This is a chair.,This is a chair.,這是一張椅子。,beginner,七上 Lesson 2-國中2000單字,this;chair,grade7_1_lesson2,What Are These?,L2 Vocabulary and Grammar: What is this/that/it?
18,sentence,That is a key.,That is a key.,那是一把鑰匙。,beginner,七上 Lesson 2-國中2000單字,that;key,grade7_1_lesson2,What Are These?,L2 Vocabulary and Grammar: What is this/that/it?
19,sentence,This is a picture.,This is a picture.,這是一張圖片。,beginner,七上 Lesson 2-國中2000單字,picture,grade7_1_lesson2,What Are These?,L2 Vocabulary and Grammar: What is this/that/it?
20,sentence,It is an elephant.,It is an elephant.,牠是一隻大象。,beginner,七上 Lesson 2-國中2000單字,elephant,grade7_1_lesson2,What Are These?,L2 Vocabulary and Grammar: What is this/that/it?
21,sentence,What are these?,What are these?,這些是什麼？,beginner,七上 Lesson 2-國中2000單字,what;these,grade7_1_lesson2,What Are These?,L2 Grammar: plural nouns and What are these/those/they?
22,sentence,What are those?,What are those?,那些是什麼？,beginner,七上 Lesson 2-國中2000單字,what;those,grade7_1_lesson2,What Are These?,L2 Grammar: plural nouns and What are these/those/they?
