id,type,english,tts_text,chinese,difficulty,topic,keywords,lesson,unit_name,source_note
1,sentence,This is a living room.,This is a living room.,這是一間客廳。,beginner,七上 複習3-4-國中2000單字,living room,grade7_1_review3_4,Review 3-4: Let's Get Some Ideas from RoomGPT + I Can Listen to Their Songs Again and Again,Merged review from Lesson 3 and Lesson 4 | L3 Vocabulary: rooms
2,sentence,This is a bedroom.,This is a bedroom.,這是一間臥室。,beginner,七上 複習3-4-國中2000單字,bedroom,grade7_1_review3_4,Review 3-4: Let's Get Some Ideas from RoomGPT + I Can Listen to Their Songs Again and Again,Merged review from Lesson 3 and Lesson 4 | L3 Vocabulary: rooms
3,sentence,This is a bathroom.,This is a bathroom.,這是一間浴室。,beginner,七上 複習3-4-國中2000單字,bathroom,grade7_1_review3_4,Review 3-4: Let's Get Some Ideas from RoomGPT + I Can Listen to Their Songs Again and Again,Merged review from Lesson 3 and Lesson 4 | L3 Vocabulary: rooms
4,sentence,This is a dining room.,This is a dining room.,這是一間飯廳。,beginner,七上 複習3-4-國中2000單字,dining room,grade7_1_review3_4,Review 3-4: Let's Get Some Ideas from RoomGPT + I Can Listen to Their Songs Again and Again,Merged review from Lesson 3 and Lesson 4 | L3 Vocabulary: rooms
5,sentence,Jay is in the bedroom.,Jay is in the bedroom.,Jay 在臥室裡。,beginner,七上 複習3-4-國中2000單字,bedroom;in,grade7_1_review3_4,Review 3-4: Let's Get Some Ideas from RoomGPT + I Can Listen to Their Songs Again and Again,Merged review from Lesson 3 and Lesson 4 | L3 Vocabulary Skills: prepositions
6,sentence,Ivy is in the bathroom.,Ivy is in the bathroom.,Ivy 在浴室裡。,beginner,七上 複習3-4-國中2000單字,bathroom;in,grade7_1_review3_4,Review 3-4: Let's Get Some Ideas from RoomGPT + I Can Listen to Their Songs Again and Again,Merged review from Lesson 3 and Lesson 4 | L3 Vocabulary Skills: prepositions
7,sentence,Hank is in the dining room.,Hank is in the dining room.,Hank 在飯廳裡。,beginner,七上 複習3-4-國中2000單字,dining room;in,grade7_1_review3_4,Review 3-4: Let's Get Some Ideas from RoomGPT + I Can Listen to Their Songs Again and Again,Merged review from Lesson 3 and Lesson 4 | L3 Vocabulary Skills: prepositions
8,sentence,The book is on the table.,The book is on the table.,書在桌上。,beginner,七上 複習3-4-國中2000單字,on;table,grade7_1_review3_4,Review 3-4: Let's Get Some Ideas from RoomGPT + I Can Listen to Their Songs Again and Again,Merged review from Lesson 3 and Lesson 4 | L3 Grammar 1: where and prepositions
9,sentence,The bag is under the table.,The bag is under the table.,袋子在桌子下面。,beginner,七上 複習3-4-國中2000單字,under;table,grade7_1_review3_4,Review 3-4: Let's Get Some Ideas from RoomGPT + I Can Listen to Their Songs Again and Again,Merged review from Lesson 3 and Lesson 4 | L3 Grammar 1: where and prepositions
10,sentence,The chair is near the table.,The chair is near the table.,椅子在桌子附近。,beginner,七上 複習3-4-國中2000單字,near;table;chair,grade7_1_review3_4,Review 3-4: Let's Get Some Ideas from RoomGPT + I Can Listen to Their Songs Again and Again,Merged review from Lesson 3 and Lesson 4 | L3 Vocabulary Skills: prepositions
11,sentence,The cat is behind the chair.,The cat is behind the chair.,貓在椅子後面。,beginner,七上 複習3-4-國中2000單字,behind;chair,grade7_1_review3_4,Review 3-4: Let's Get Some Ideas from RoomGPT + I Can Listen to Their Songs Again and Again,Merged review from Lesson 3 and Lesson 4 | L3 Vocabulary Skills: prepositions
12,sentence,The dog is in front of the chair.,The dog is in front of the chair.,狗在椅子前面。,beginner,七上 複習3-4-國中2000單字,in front of;chair,grade7_1_review3_4,Review 3-4: Let's Get Some Ideas from RoomGPT + I Can Listen to Their Songs Again and Again,Merged review from Lesson 3 and Lesson 4 | L3 Vocabulary Skills: prepositions
13,sentence,The box is next to the bag.,The box is next to the bag.,盒子在袋子旁邊。,beginner,七上 複習3-4-國中2000單字,next to;box;bag,grade7_1_review3_4,Review 3-4: Let's Get Some Ideas from RoomGPT + I Can Listen to Their Songs Again and Again,Merged review from Lesson 3 and Lesson 4 | L3 Vocabulary Skills: prepositions
14,sentence,The cat is between the boxes.,The cat is between the boxes.,貓在盒子中間。,beginner,七上 複習3-4-國中2000單字,between;box,grade7_1_review3_4,Review 3-4: Let's Get Some Ideas from RoomGPT + I Can Listen to Their Songs Again and Again,Merged review from Lesson 3 and Lesson 4 | L3 Vocabulary Skills: prepositions
15,sentence,The robot dog is near the TV.,The robot dog is near the TV.,機器狗在電視附近。,beginner,七上 複習3-4-國中2000單字,near;robot dog;TV,grade7_1_review3_4,Review 3-4: Let's Get Some Ideas from RoomGPT + I Can Listen to Their Songs Again and Again,Merged review from Lesson 3 and Lesson 4 | L3 Grammar 1: where and prepositions
16,sentence,Lucy is in the box.,Lucy is in the box.,Lucy 在盒子裡。,beginner,七上 複習3-4-國中2000單字,in;box,grade7_1_review3_4,Review 3-4: Let's Get Some Ideas from RoomGPT + I Can Listen to Their Songs Again and Again,Merged review from Lesson 3 and Lesson 4 | L3 Grammar 1 practice
17,sentence,Billy is between the box and the chair.,Billy is between the box and the chair.,Billy 在盒子和椅子中間。,beginner,七上 複習3-4-國中2000單字,between;box;chair,grade7_1_review3_4,Review 3-4: Let's Get Some Ideas from RoomGPT + I Can Listen to Their Songs Again and Again,Merged review from Lesson 3 and Lesson 4 | L3 Grammar 1 practice
