id,type,english,tts_text,chinese,difficulty,topic,keywords,lesson,unit_name,source_note
1,sentence,Listen to her voice.,Listen to her voice.,聽她的聲音。,beginner,七上 Lesson 4-國中2000單字,listen;voice,grade7_1_lesson4,I Can Listen to Their Songs Again and Again,"L4 Vocabulary: listen, voice, commands, noise, early and late"
2,sentence,Her voice is great.,Her voice is great.,她的歌喉很棒。,beginner,七上 Lesson 4-國中2000單字,voice;great,grade7_1_lesson4,I Can Listen to Their Songs Again and Again,"L4 Vocabulary: listen, voice, commands, noise, early and late"
3,sentence,Please stand up.,Please stand up.,請站起來。,beginner,七上 Lesson 4-國中2000單字,please;stand up,grade7_1_lesson4,I Can Listen to Their Songs Again and Again,"L4 Vocabulary: listen, voice, commands, noise, early and late"
4,sentence,Don't stand up.,Don't stand up.,不要站起來。,beginner,七上 Lesson 4-國中2000單字,don't;stand up,grade7_1_lesson4,I Can Listen to Their Songs Again and Again,"L4 Vocabulary: listen, voice, commands, noise, early and late"
5,sentence,Please sit down.,Please sit down.,請坐下。,beginner,七上 Lesson 4-國中2000單字,please;sit down,grade7_1_lesson4,I Can Listen to Their Songs Again and Again,"L4 Vocabulary: listen, voice, commands, noise, early and late"
6,sentence,"Sit down, please.","Sit down, please.",請坐下。,beginner,七上 Lesson 4-國中2000單字,sit down;please,grade7_1_lesson4,I Can Listen to Their Songs Again and Again,"L4 Vocabulary: listen, voice, commands, noise, early and late"
7,sentence,Let's take a photo.,Let's take a photo.,我們來拍照吧。,beginner,七上 Lesson 4-國中2000單字,let's;take a photo,grade7_1_lesson4,I Can Listen to Their Songs Again and Again,"L4 Vocabulary: listen, voice, commands, noise, early and late"
8,sentence,Don't make any noise.,Don't make any noise.,不要製造任何噪音。,beginner,七上 Lesson 4-國中2000單字,don't;make any noise,grade7_1_lesson4,I Can Listen to Their Songs Again and Again,"L4 Vocabulary: listen, voice, commands, noise, early and late"
9,sentence,I can't talk now.,I can't talk now.,我現在不能講話。,beginner,七上 Lesson 4-國中2000單字,can't;talk;now,grade7_1_lesson4,I Can Listen to Their Songs Again and Again,"L4 Vocabulary: listen, voice, commands, noise, early and late"
10,sentence,It's too noisy here.,It's too noisy here.,這裡太吵了。,beginner,七上 Lesson 4-國中2000單字,too;noisy;here,grade7_1_lesson4,I Can Listen to Their Songs Again and Again,"L4 Vocabulary: listen, voice, commands, noise, early and late"
11,sentence,It's late.,It's late.,時間晚了。,beginner,七上 Lesson 4-國中2000單字,late,grade7_1_lesson4,I Can Listen to Their Songs Again and Again,"L4 Vocabulary: listen, voice, commands, noise, early and late"
12,sentence,Let's go home.,Let's go home.,我們回家吧。,beginner,七上 Lesson 4-國中2000單字,let's;go home,grade7_1_lesson4,I Can Listen to Their Songs Again and Again,"L4 Vocabulary: listen, voice, commands, noise, early and late"
13,sentence,Don't talk.,Don't talk.,不要講話。,beginner,七上 Lesson 4-國中2000單字,don't;talk,grade7_1_lesson4,I Can Listen to Their Songs Again and Again,"L4 Vocabulary: listen, voice, commands, noise, early and late"
